id,client_name,client_address,billing_to,service_type,bill_description,ticket_id,billing_date,emailed,comments,invoice_no,invoice_date
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 Qty - Dell Laptop Latitude 5480 
S/N# 3KT0X2        
i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB

Username:         dig\kulvir",#21155,2024-11-20,No,"Ticket Closed, Hand Submitted",,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 Qty - Dell Laptop Latitude 7480 
S/N# GFKGPQ2        
i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB

New RDP + New Email + New  DUO
Username:         dig\irvinder",#21011,2024-11-15,No,"Ticket Closed, Hand Submitted",,
,Hi-End Diesel Truck Repair Inc.,"1123 Lorimar Dr, Mississauga, ON L5S 1M5",Hi-End Diesel Truck Repair Inc.,na,"Brother Printer Issue - Resolved Reception Desk
Model L5700DW Series",#20978,2024-11-13,No,"Ticket Closed, Hand Submitted",,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"New RDP + Email + DUO
Username: 
        dig\kulvir",#20850,2024-11-11,No,"Ticket Closed, Hand Submitted",,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 Qty - Dell Laptop Latitude 7480 
S/N# 5B6M1N2
i5-6300U CPU @ 2.40GHz - HDD 256GB - (RAM) 16.0 GB

New RDPs + New Email + New  DUO
Username: 
        dig\mamoon
",#20771,2024-11-06,No,"Ticket Closed, Hand Submitted",,
,Icon Logistics,"1136A Lorimar Dr. Mississauga, ON L5S 1R8",Icon Logistics,na,"New QB Desktop Pro 2024 setup + New Desktop + Office 365 License setup

Dell OptiPlex
Serial Number # HTZHZV2
i5 6th Gen 16 GB RAM 512 GB SSD",#21571,2024-12-03,No,"Ticket Closed, Noted by Rajkaran",,
,Haulage North America,"473032 Dufferin County Rd 11 ,
 Orangeville ON L9W 2Y9",Haulage North America,na,"2 Domains + 3 Emails Created
Domains :-
roadtrucktransportation.com
highwaytruxtransportation.com


Emails:-
operations@roadtrucktransportation.com                
operations@highwaytruxtransportation.com   
matt@orangevilletc.com  ",#22006,2024-12-16,Yes,Ticket Closed,,
,Icon Logistics,"1136A Lorimar Dr. Mississauga, ON L5S 1R8",Icon Logistics,na,"Emails Migration from GSuite to Office 365 and setup:-
amy@iconlogistics.ca
dispatch@iconlogistics.ca
ehajjar@iconlogistics.ca
godson@iconlogistics.ca
info@iconlogistics.ca
khajjar@iconlogistics.ca",#21898,2024-12-13,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"2 New RDPs + 2 Emails + 2 DUOs
Username: 
        dig\rosy    
        dig\gbasraon
",#21439,2024-11-29,Yes,Ticket Closed,,
,CIC Toronto,"""155-2960 Drew Road,
Malton, Mississauga,ON L4T 0A5""",CIC Toronto,na,Outlook & Storage Issue ($75.00/-),#21368,2024-11-26,Yes,Ticket Closed,,
,Supreme Wire Products Ltd.,"20 Newkirk Court, Unit 11, Brampton,
 ON L6Z 0B5, Ontario",Supreme Wire Products Ltd.,na,Troubleshooting & Assigned new Licenses to 8 email addresses.,#21320,2024-11-25,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"2 RDP + 2 Email + 2 DUO 
User:
-  Aditya Goria
-  Karandeep Singh",#21265,2024-11-25,Yes,Ticket Closed,,
,Diamond Insurance Group,"60 Lacoste Blvd Unit 209-210 Brampton
 ON L6P 4B5",Diamond Insurance Group,na,"1 Laptop - Asif'`s Team
Lenovo ThinkPad T480s
i7-8650U CPU RAM 16.0 GB HDD 250 GB NVMe
Serial Number : PC19DLEY",#21265,2024-11-25,Yes,Ticket Closed,,
,A Spec Precision,"6740 Davand Dr #2, Mississauga, ON L5T 2K9",A Spec Precision,na,"New Laptop, Data Migration , Email Migration & Data Transfer.
Laptop Details:-
Lenovo ThinkPad T480s
Serial Number    PC15541J
i7-8650U CPU @ 1.90GHz, 2112 Mhz, 4 Core(s) 
RAM 16.0 GB HDD 512 GB NVMe",#20818,2024-11-20,Yes,Ticket Closed Invoices created.,,
,MSS MACHINING & FABRICATION,"286 Rutherford Rd S #4,
 Brampton, ON L6W 3K7
 905-230-0700",MSS MACHINING & FABRICATION,na,"1 New CPU details : Hp Elite Desk S/N # 2UA4211MGC
  i7-4790 - 16 GB RAM -- 256 GB SSD + 500 GB SATA. WIN 10 Pro + Data Transfer from old PC",#4141,2023-04-14,Yes,Mr. Amit - check for billing info - Yes,,
,Gracious Hardwood Flooring Inc.,"106 Summerlea Rd, Brampton, ON L6T 5E5",Gracious Hardwood Flooring Inc.,na,New User + New DUO    Gurmeet - Gracious Oakville,#22641,2025-01-03,Yes,Ticket Closed,,
,Gracious Hardwood Flooring Inc.,"106 Summerlea Rd, Brampton, ON L6T 5E5",Gracious Hardwood Flooring Inc.,na,New User Priyank - Gracious,#22632,2025-01-03,Yes,Ticket Closed,,
,Gracious Hardwood Flooring Inc.,"106 Summerlea Rd, Brampton, ON L6T 5E5",Gracious Hardwood Flooring Inc.,na,4 Keyboards + 4 Mouse + 1 HDMI to Display Converters.,#22631,2025-01-03,Yes,Ticket Closed,,
,Gracious Hardwood Flooring Inc.,"106 Summerlea Rd, Brampton, ON L6T 5E5",Gracious Hardwood Flooring Inc.,na,Telephone Phone Cord,#22633,2025-01-03,Yes,Ticket Closed,,
