id,manufacturer,product_item,description,total_stock_received,serial_no,mac_product_no,comments,stock_in_date
3,,Yealink Cordless,,1,,,,3/3/2023
4,,Yealink T54W,,1,,,,3/8/2023
5,,Yealink T54W,,1,,,,3/17/2023
6,,Yealink T54W,,1,,,,4/20/2023
7,,Yealink T54W,,1,,,,4/29/2023
8,,Desktop,,1,,,,5/3/2023
10,,Desktop,,1,,,,5/3/2023
11,,LCD,,1,,,,5/3/2023
13,,Desktop,,1,,,,5/26/2023
14,,Desktop,,1,,,,6/5/2023
15,,LCD,,1,,,,6/5/2023
17,,Desktop,,1,,,,6/5/2023
18,,Desktop,,1,,,,6/5/2023
19,,Desktop,,1,,,,6/7/2023
20,,Desktop,,1,,,,6/7/2023
28,HP,Desktop HP EliteDesk,,1,,,,6/28/2023
32,Yealink,Yealink T54W,,1,,,,7/24/2023
34,Yealink,Spiral Cord - T53,,1,,,,7/24/2023
36,HP,Desktops - HP,,1,,,,11/20/2023
37,Dell,"LCD - Dell 22""",,1,,,,11/20/2023
38,Yealink,Yealink T54W,,1,201081F051209236,,,12/4/2023
39,Yealink,Yealink T54W,,1,201081F051207094,,,12/4/2023
40,Yealink,Yealink T54W,,1,201081F051208219,,,12/4/2023
41,Yealink,Yealink T54W,,1,201081F051208917,,,12/4/2023
42,Yealink,Yealink W56H,,1,8.30152E+15,,,12/4/2023
44,Yealink,Power Adapter,,1,,,,12/4/2023
45,Yealink,Yealink W56H,,1,8.30152E+15,,,12/4/2023
46,Yealink,Yealink T54W,,1,201081F051206650,,,12/4/2023
47,Yealink,Yealink T54W,,1,201081F051207090,249AD8800E3B,,12/4/2023
48,Yealink,Yealink T54W,,1,201081F051208036,,,12/4/2023
49,Yealink,Yealink T54W,,1,201081F051208231,249AD88026A9,,12/4/2023
50,Yealink,Yealink T54W,,1,201081F051208772,,,12/4/2023
51,Yealink,Yealink T54W,,1,201081F051206263,,,12/7/2023
52,Laptop,Dell Precision T1700,,1,,,,12/20/2023
53,,Wireless Router,,1,,,,12/29/2023
57,Yealink,Yealink T53,,1,,,,1/20/2024
59,,NvMe Drive,,1,,,,1/30/2024
60,,Desktops - HP,,1,,,,2/21/2024
62,,Cisco Switch,,1,,,,2/28/2024
64,,Desktops - HP,"i7-6th gen, 256 NVme + 500 GB + 16 GB RAM",1,,,,4/10/2024
66,,Microtik Router,,1,,,,4/14/2024
69,Yealink,Spiral Cord - T53,,1,,,,4/25/2024
70,Yealink,Yealink T53,,1,Haulage,,,4/30/2024
71,,Yealink W56H,,1,,,,5/3/2024
75,,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,22GYGH2,,,5/21/2024
76,,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,BR5XPQ2,,,5/21/2024
77,,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,3MTRHM2,,,5/21/2024
78,,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,CD1CHR2,,,5/21/2024
79,,Dell Latitude 7480,System Model        Latitude 7480  - i5-6300U CPU @ 2.40GHz - HDD 256GB SSD - (RAM) 16.0 GB,1,CYLKHR2,,,5/21/2024
82,Yealink,Yealink T53,,1,2.01087E+15,249AD8985847,,6/5/2024
