id,manufacturer,product_item,description,total_ins,total_outs,date_out,stock_inhand,sr_no,mac_product_no,to_user,to_client,ticket_id,inventory_comments,created_date,,,,,,
1,,Yealink T54W,,,3,,,,,Metrox,,"#2494
#2495
#2496",,2023-01-25,,,,,,
2,,Yealink T54W,,,7,,,,,Ontario Transway,,#3206,,2023-03-03,,,,,,
3,,Yealink Cordless,,,1,,,,,Ontario Transway,,#3206,,2023-03-03,,,,,,
4,,Yealink T54W,,,1,,,,,Ameya,Ameya,#3329,,2023-03-08,,,,,,
5,,Yealink T54W,,,1,,,,,Rajkaran,Rajkaran,,,2023-03-17,,,,,,
6,,Yealink T54W,,,1,,,,,Simar Uppal,Freight Hub Logistic,#4027,,2023-04-20,,,,,,
7,,Yealink T54W,,,1,,,,,Varinder Rana,Gracious,#4362,,2023-04-29,,,,,,
8,,Desktop,,,1,,,,,Harman Thind,Diamond,#4521,,2023-05-03,,,,,,
9,,LCD,,,2,,,,,Harman Thind,Diamond,#4521,,2023-05-03,,,,,,
10,,Desktop,,,1,,,,,,Galaxy,#4621,,2023-05-03,,,,,,
11,,LCD,,,1,,,,,,Galaxy,#4621,,2023-05-03,,,,,,
12,,Desktops,,7,,,,,,,,,,2023-05-09,,,,,,
13,,Desktop,,,1,,,,,Dhvani ,Gracious,#5170,,2023-05-26,,,,,,
14,,Desktop,,,1,,,,,MandeepKhroud,Diamond,#5286,,2023-06-05,,,,,,
15,,LCD,,,1,,,,,MandeepKhroud,Diamond,#5286,,2023-06-05,,,,,,
16,,LCD,,,2,,,,,Ravi Grewal,Diamond,#5375,,2023-06-05,,,,,,
17,,Desktop,,,1,,,,,Ravi Grewal,Diamond,#5375,,2023-06-05,,,,,,
18,,Desktop,,,1,,,,,Simar,Diamond,#5373,,2023-06-05,,,,,,
19,,Desktop,,,1,,,,,Gary,CIC,#5417,,2023-06-07,,,,,,
20,,Desktop,,,1,,,,,Ruby - Personal,CIC,#5422,,2023-06-07,,,,,,
21,,Desktops - HP,"i7-6th gen, 256 NVme + 500 GB + 16 GB RAM",10,8,,,,,"7 - Haulage North America, 1 - Gracious(AnjaliRana #8843)",,,,2023-06-09,,,,,,
22,,"LCD - Dell 22""",,2,,,,,,,,,,2023-06-09,,,,,,
23,Yealink,Yealink T54W,Ezeetel,8,,,,,,,,,,2023-06-12,,,,,,
